00:01|Hot Girl Bummer|Blackbear
00:04|Mamacita|Black Eyed Peas, Ozuna, J Rey Soul
00:09|Better Now|Post Malone
00:12|Be Kind|Marshmello, Halsey
00:15|Te Gusta|Mc Kevinho
00:18|Hold On, We're Going Home|Drake
00:22|Desce pro Play (PA PA PA)|MC Zaac, Anitta, Tyga
00:25|Contra la Pared|Sean Paul, J Balvin
00:28|Blinding Lights|The Weeknd
00:32|Tempo|FrankieontheGuitar, Bispo, Lon3r Johny, Tóy Tóy T-Rex
00:36|Dado|Rony Fuego, DreNaz
00:39|Savage Love|Jawsh 685, Jason Derulo
00:42|Ignorantes|Bad Bunny, Sech
00:46|Hoji N'ka ta Rola|Julinho Ksd
00:50|Flores|Vitão, Luísa Sonza
00:52|Cocaína|GSon, Zara G, Chris [pt], Luccas, Kroa, Xamã, Giovanni
00:59|Bad Guy|Billie Eilish
01:01|Don't Start Now|Dua Lipa
01:04|Blueberry Faygo|Lil Mosey
01:07|Intentions|Justin Bieber, Quavo
01:11|Sunday Best|Surfaces
01:13|Old Town Road [remix]|Lil Nas X, Billy Ray Cyrus
01:16|Ily (I Love You Baby)|Surf Mesa, Emilee
01:19|Toosie Slide|Drake
01:23|Blame|Calvin Harris, John Newman
01:27|Supalonely|Benee, Gus Dapperton
01:30|X|Nicky Jam, J Balvin
01:33|Roses [Imanbek remix]|Saint Jhn
01:36|Falling|Trevor Daniel
01:39|Safe|Mizzy Miles, 9 Miller, Lon3r Johny, Lhast
01:43|Conclusão|Julinho Ksd
01:45|Break My Heart|Dua Lipa
01:49|Talk|Khalid
01:51|Festa|David Carreira, Mc Kevinho
01:54|Tribunal|ProfJam, Benji Price
01:58|Don't Call Me Up|Mabel
02:01|Rockstar|DaBaby, Roddy Ricch
02:04|TKN|Rosalía, Travis Scott
02:06|Roxanne|Arizona Zervas
02:09|Death Bed (Coffee for Your Head)|Powfu, Beabadoobee
02:12|Callaita|Bad Bunny, Tainy
02:15|PopStar|DJ Khaled, Drake
02:18|Breaking Me|Topic, A7S
02:21|Deja Vu|Beyoncé, Jay Z
02:25|Don't Rush|Young T & Bugsey, Headie One
02:29|I Don't Care|Ed Sheeran, Justin Bieber
02:33|Watermelon Sugar|Harry Styles
02:36|Rare|Selena Gomez
02:40|Good Life|Kappa Jotta
02:43|In Your Eyes [remix]|The Weeknd, Doja Cat
02:47|Savage|Megan Thee Stallion
02:50|Bússola|Nenny
02:54|Flores|Vitão, Luísa Sonza
02:57|Safe|Mizzy Miles, 9 Miller, Lon3r Johny, Lhast
03:00|Don't Start Now|Dua Lipa
03:03|Savage Love|Jawsh 685, Jason Derulo
03:06|Own It|Stormzy, Ed Sheeran, Burna Boy
03:10|Rain on Me|Lady Gaga, Ariana Grande
03:13|Motivation|Normani
03:16|Hasta que Dios Diga|Anuel AA, Bad Bunny
03:20|Conclusão|Julinho Ksd
03:23|Gold Digger|Kanye West, Jamie Foxx
03:27|Morado|J Balvin
03:30|Psycho|Post Malone, Ty Dolla Sign
03:34|Roses [Imanbek remix]|Saint Jhn
03:37|Adore You|Harry Styles
03:41|How You Like That|Blackpink
03:44|TKN|Rosalía, Travis Scott
03:46|Mamacita|Black Eyed Peas, Ozuna, J Rey Soul
03:50|Boyfriend|Ariana Grande, Social House
03:53|Be Kind|Marshmello, Halsey
03:56|BANANA (FT. SHAGGY) DJ FLE REMIX|CONKARAH
03:59|One Kiss|Calvin Harris, Dua Lipa
04:03|Rockstar|DaBaby, Roddy Ricch
04:06|Breaking Me|Topic, A7S
04:08|Tempo|FrankieontheGuitar, Bispo, Lon3r Johny, Tóy Tóy T-Rex
04:12|Sunday Best|Surfaces
04:15|Combatchy|Anitta, Luísa Sonza, Lexa, MC Rebecca
04:17|Ily (I Love You Baby)|Surf Mesa, Emilee
04:20|In Your Eyes [remix]|The Weeknd, Doja Cat
04:25|Diamonds|Rihanna
04:28|Supalonely|Benee, Gus Dapperton
04:32|Girls Like You|Maroon 5
04:36|Watermelon Sugar|Harry Styles
04:39|The Scotts|The Scotts, Travis Scott, Kid Cudi
04:42|Dado|Rony Fuego, DreNaz
04:45|Stuck with U|Ariana Grande, Justin Bieber
04:49|Break My Heart|Dua Lipa
04:52|Yo x Ti, Tu x Mi|Rosalía, Ozuna
04:56|PopStar|DJ Khaled, Drake
04:59|Cocaína|GSon, Zara G, Chris [pt], Luccas, Kroa, Xamã, Giovanni
05:06|Blinding Lights|The Weeknd
05:09|Te Gusta|Mc Kevinho
05:11|Falling|Trevor Daniel
05:13|Death Bed (Coffee for Your Head)|Powfu, Beabadoobee
05:16|Be Honest|Jorja Smith, Burna Boy
05:20|Hasta que Dios Diga|Anuel AA, Bad Bunny
05:24|Savage Love|Jawsh 685, Jason Derulo
05:27|Love the Way You Lie|Eminem, Rihanna
05:31|Don't Rush|Young T & Bugsey, Headie One
05:35|Pray [remix]|Sam Smith, Logic
05:39|Don't Start Now|Dua Lipa
05:42|Tusa|Karol G, Nicki Minaj
05:46|How You Like That|Blackpink
05:49|Blueberry Faygo|Lil Mosey
05:51|Savage|Megan Thee Stallion
05:54|Vergonha na Cara|Plutónio
05:57|Flores|Vitão, Luísa Sonza
06:00|Roses [Imanbek remix]|Saint Jhn
06:03|Toosie Slide|Drake
06:07|The Box|Roddy Ricch
06:10|Rain on Me|Lady Gaga, Ariana Grande
06:13|China|Anuel AA, J Balvin, Daddy Yankee, Karol G, Ozuna
06:18|Festa|David Carreira, Mc Kevinho
06:21|Conclusão|Julinho Ksd
