23:56|Oh My God|Alec Benjamin
23:53|Billionaire|Travie McCoy , Bruno Mars
23:49|Put a little Love on Me|Niall Horan
23:46|Alma|Agir
23:42|Complicated|Avril Lavigne
23:39|Bom Rapaz|Os Quatro e Meia , Carlão
23:36|What if this Is all the Love You Ever Get? [Iain Archer mix]|Snow Patrol
23:33|Rain on Me|Lady Gaga , Ariana Grande
23:30|Cold|Maroon 5 , Future
23:26|Love Yourself|Justin Bieber
23:23|Andrà Tutto Bene|Cristóvam
23:19|Rewrite the Stars|James Arthur , Anne-Marie
23:16|How You Remind Me|Nickelback
23:12|Together|Sia
23:08|Maldita a Hora|João Só , Tiago Nogueira
23:04|Say Something|A Great Big World , Christina Aguilera
23:01|Let's Fall in Love for the Night|Finneas
22:57|The Nights|Avicii
22:53|I Don't Care|Ed Sheeran , Justin Bieber
22:50|O Amor É Assim|HMB , Carminho
22:46|Let Her Go|Passenger [uk]
22:42|Blinding Lights|The Weeknd
22:39|Roses [Imanbek remix]|Saint Jhn
22:36|Santo Domingo|João Pedro Pais
22:33|Something just Like This|The Chainsmokers , Coldplay
22:29|Times Like These [acústico]|Foo Fighters
22:26|É Preciso|Miguel Gameiro
22:22|How Do You Sleep?|Sam Smith
22:19|Feel so Close|Calvin Harris
22:15|Break My Heart|Dua Lipa
22:09|Nós os Dois|Bárbara Bandeira
22:06|It's My Life|Bon Jovi
22:02|Conversations in the Dark|John Legend
21:57|Team|Lorde
21:53|Everything I Wanted|Billie Eilish
21:49|Perto de Mim|Syro
21:45|Beautiful Day|U2
21:42|A Noite|Stereossauro , Marisa Liz , Carlão
21:38|These Words|Natasha Bedingfield
21:35|Be Kind|Marshmello , Halsey
21:33|Walk Me Home|Pink
21:29|Uptown Funk|Mark Ronson , Bruno Mars
21:25|Volta para Trás|Diana Castro
21:22|Someone You Loved|Lewis Capaldi
21:17|Don't Look Back in Anger|Oasis
21:14|Know Your Worth|Khalid , Disclosure
21:09|Recomeçar|Fernando Daniel
21:05|Cheap Thrills|Sia
21:02|To Die For|Sam Smith
20:57|Midnight|Alesso , Liam Payne
20:53|Perfect|Ed Sheeran
20:50|Promete|Ana Vilela
20:47|This Is what It Feels Like|Armin van Buuren , Trevor Guthrie
20:44|Breaking Me|Topic , A7S
20:41|Kings & Queens|Ava Max
20:38|Nunca Me Esqueci de Ti|Rui Veloso
20:35|Attention|Charlie Puth
20:31|Better Man|Pearl Jam
20:28|If I Lose Myself|OneRepublic
20:25|Maniac|Conan Gray
20:21|Just Give Me a Reason|Pink , Nate Ruess
20:17|Before You Go|Lewis Capaldi
20:12|Pensamento|Átoa
20:08|I Need Your Love|Calvin Harris , Ellie Goulding
20:05|Watermelon Sugar|Harry Styles
19:55|Waka Waka (Time for Africa)|Shakira
19:52|Memories|Maroon 5
19:48|One more Time|Noble
19:45|Safe and Sound|Capital Cities
19:43|Death Bed (Coffee for Your Head)|Powfu , Beabadoobee
19:39|Lonely|Joel Corry
19:35|Talvez se Eu Dançasse|Miguel Araújo
19:32|Miracles (Someone Special)|Coldplay , Big Sean
19:30|Don't Speak|No Doubt
19:26|Love Me Again|John Newman
19:23|Hard for Me|Michele Morrone
19:20|Diamonds|Rihanna
19:16|Señorita|Shawn Mendes , Camila Cabello
19:11|Tarde Demais|Nuno Ribeiro
19:08|I Love It|Icona Pop , Charli XCX
19:04|In Your Eyes|The Weeknd
18:56|Sweet but Psycho|Ava Max
18:52|A Dónde Vas|Antonio José , Diogo Piçarra
18:48|Blurred Lines|Robin Thicke , T.I. , Pharrell Williams
18:45|Let's Fall in Love for the Night|Finneas
18:42|Savage Love|Jawsh 685 , Jason Derulo
18:39|Mountains|Carolina Deslandes , Agir
18:35|Calma [remix]|Pedro Capó , Farruko
18:31|How to Save a Life|The Fray
18:27|I Follow Rivers [The Magician remix]|Lykke Li
18:24|Boxes|Gavin James
18:20|Let It Go|James Bay
18:16|Circles|Post Malone
18:12|Menina Solta|Giulia Be
18:08|Blow Me (One last Kiss)|Pink
18:05|Ily (I Love You Baby)|Surf Mesa , Emilee
17:56|Bruises|Lewis Capaldi
17:53|Ouvi Dizer|Melim
17:49|One Day/Reckoning Song|Asaf Avidan
17:46|No Time to Die|Billie Eilish
17:43|Rain on Me|Lady Gaga , Ariana Grande
17:40|Nothing Breaks Like a Heart|Mark Ronson , Miley Cyrus
17:36|Re-Tratamento|Da Weasel
17:33|Wherever You Will Go|The Calling
17:28|That's Not My Name|The Ting Tings
17:25|Together|Sia
17:21|Grenade|Bruno Mars
17:18|Girls Like You|Maroon 5
17:14|Tal como Sou|Fernando Daniel
17:11|Save the World|Swedish House Mafia
17:07|Blinding Lights|The Weeknd
16:59|Natural|Imagine Dragons
16:54|A Incrível História de Gabriela de Jesus|Miguel Araújo
16:51|To Die For|Sam Smith
16:47|Give a Lil' Love|Bob Sinclar
16:44|Roses [Imanbek remix]|Saint Jhn
16:41|Pica do 7|António Zambujo
16:38|Just You and I [remix]|Tom Walker
16:33|Fix You|Coldplay
16:29|Beautiful Lie|Keemo , Cosmo Klein , Tim Royko
16:26|Break My Heart|Dua Lipa
16:22|Happy|Pharrell Williams
16:19|Underdog|Alicia Keys
16:14|Não Preciso|Tay , Dylan
16:10|Don't Stop the Music|Rihanna
16:07|Bom Rapaz|Os Quatro e Meia , Carlão
15:57|Higher Love|Kygo , Whitney Houston
15:54|Anjos|Diogo Piçarra , Carolina Deslandes
15:50|Conversations in the Dark|John Legend
15:46|Forget You|CeeLo Green
15:43|Os Maridos das Outras|Miguel Araújo
15:40|Be Kind|Marshmello , Halsey
15:36|Love Someone|Lukas Graham
15:32|Here I Am|Bryan Adams
15:30|Call on Me|Eric Prydz
15:27|Know Your Worth|Khalid , Disclosure
15:23|Take Me to Church|Hozier
15:20|Sei Lá|Bárbara Tinoco
15:14|I Know You Want Me (Calle Ocho)|Pitbull
15:10|All We Need Is Love [acústico]|Virgul
15:08|Breaking Me|Topic , A7S
14:59|Avião de Papel|Carolina Deslandes , Rui Veloso
14:55|California Gurls|Katy Perry , Snoop Dogg
14:51|In Your Eyes|The Weeknd
14:48|Kings & Queens|Ava Max
14:44|Sorri, Sou Rei|Natiruts , Mónica Ferraz
14:40|Dusk till Dawn|Zayn , Sia
14:36|Sex on Fire|Kings of Leon
14:33|Rome Wasn't Built in a Day|Morcheeba
14:30|Maniac|Conan Gray
14:25|Wake Me Up|Avicii , Aloe Blacc
14:21|Put a little Love on Me|Niall Horan
14:14|You Feel Like Home|David Fonseca , Ana Sofia Martins
14:10|Sing It Back|Moloko
14:06|A Noite|Stereossauro , Marisa Liz , Carlão
13:58|Lonely|Joel Corry
13:54|Cold little Heart|Michael Kiwanuka
13:48|Ibiza for Dreams|Diego Miranda , Liliana
13:45|Watermelon Sugar|Harry Styles
13:40|O Sol|Vitor Kley
13:35|Say Something|Justin Timberlake , Chris Stapleton
13:31|Cryin'|Aerosmith
13:28|Grace Kelly|Mika
13:25|Hard for Me|Michele Morrone
13:20|A Sky Full of Stars|Coldplay
13:17|How Do You Sleep?|Sam Smith
13:13|Talvez se Eu Dançasse|Miguel Araújo
13:09|On the Floor|Jennifer Lopez , Pitbull
13:06|Let's Fall in Love for the Night|Finneas
12:57|Savage Love|Jawsh 685 , Jason Derulo
12:53|Heaven|Avicii , Chris Martin
12:47|Boa Sorte / Good Luck [DeepLick remix]|Vanessa da Mata , Ben Harper
12:44|Blinding Lights|The Weeknd
12:39|Whatever It Takes|Imagine Dragons
12:36|Trégua|Tiago Bettencourt
12:32|Valerie|Mark Ronson , Amy Winehouse
12:29|Middle|DJ Snake , Bipolar Sunshine
12:26|Boxes|Gavin James
12:22|Nothin' on You|B.o.B. , Bruno Mars
12:18|Everything I Wanted|Billie Eilish
12:15|Passarinhos|S. Pedro
12:11|Lush Life|Zara Larsson , Tinie Tempah
12:09|Death Bed (Coffee for Your Head)|Powfu , Beabadoobee
11:58|Rain on Me|Lady Gaga , Ariana Grande
11:54|Before You Go|Lewis Capaldi
