00:01|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
00:07|TOGETHER|SIA
00:10|BREAKING ME|TOPIC feat. A7S
00:13|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
00:19|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
00:22|SAY SO|DOJA CAT
00:25|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
00:29|BRUISES|LEWIS CAPALDI
00:33|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
00:35|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
00:39|IN YOUR EYES|THE WEEKND
00:43|POWER OVER ME|DERMOT KENNEDY
00:46|ALANE|ROBIN SCHULZ & WES
00:49|HARD FOR ME|MICHELE MARRONE
00:51|SUPALONELY|BENEE feat. GUS DAPPERTON
00:55|GO CRAZY|CHRIS BROWN & YOUNG THUG
00:58|TOO GOOD AT GOODBYES|SAM SMITH
01:02|SUNDAY BEST|SURFACES
01:04|LONELY|JOEL CORRY
01:07|COME & GO|JUICE WRLD & MARSHMELLO
01:11|SAVAGE LOVE|JAWSH 685 x JASON DERULO
01:13|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
01:16|NAKED|JAMES ARTHUR
01:20|NO SCRUBS|TOM ENZY feat. KALU
01:23|LOVELY|BILLIE EILISH feat. KHALID
01:26|NOBODYS LOVE|MAROON 5
01:29|BREAK MY HEART|DUA LIPA
01:33|HEARTLESS|THE WEEKND
01:36|PARTY GIRL|STAYSOLIDROCKY
01:38|THIS CITY|SAM FISCHER
01:41|SAY MY NAME|DAVID GUETTA feat. BEBE REXHA & J. BALVIN
01:47|ME DOMINA|BLAYA feat. CARLAO
01:50|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
01:53|FINESSE|BRUNO MARS feat. CARDI B.
01:57|CANT FEEL MY FACE|THE WEEKND
02:01|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
02:06|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
02:09|HOJI NKA TA ROLA|JULINHO KSD
02:13|LOSE SOMEBODY|KYGO & ONEREPUBLIC
02:16|DADO|RONY FUEGO
02:20|WITHOUT ME|HALSEY
02:23|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
02:27|FURTHER UP (NA, NA, NA, NA, NA)|STATIC & BEN EL with PITBULL
02:29|HEAD & HEART|JOEL CORRY feat. MNEK
02:32|DOWNTOWN|ANITTA & J. BALVIN
02:35|SAVAGE LOVE|JAWSH 685 x JASON DERULO
02:38|ROCKSTAR|DABABY feat. RODDY RICCH
02:41|1 DE ABRIL|PLUTONIO
02:43|POPSTAR|DJ KHALED feat. DRAKE
02:46|IN MY BONES|RAY DALTON
02:49|IGNORANTES|BAD BUNNY x SECH
02:53|SOMETHING TRIVIAL|NEEV
02:57|HIM & I|G-EAZY & HALSEY
03:02|FALLING|HARRY STYLES
03:05|SECRETS|REGARD & RAYE
03:08|HALLUCINATE|DUA LIPA
03:12|THIS CITY|SAM FISCHER
03:15|BE LIKE THAT|KANE BROWN feat. KHALID & SWAE LEE
03:18|TREVO (TU)|ANAVITORIA feat. DIOGO PICARRA
03:21|BANANA|CONKARAH feat. SHAGGY
03:25|THE BOX|RODDY RICCH
03:28|RECOMECAR|FERNANDO DANIEL
03:31|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
03:34|LOCO CONTIGO|DJ SNAKE & J. BALVIN feat. TYGA
03:37|FESTA|DAVID CARREIRA feat. KEVINHO
03:40|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
03:44|NO GUIDANCE|CHRIS BROWN feat. DRAKE
03:50|TOGETHER|SIA
03:54|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
03:58|YOU ARE THE REASON|CALUM SCOTT
04:01|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
04:06|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
04:09|TOOSIE SLIDE|DRAKE
04:13|KINGS & QUEENS|AVA MAX
04:16|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
04:20|GIRLS LIKE YOU|MAROON 5
04:23|SAVAGE LOVE|JAWSH 685 x JASON DERULO
04:26|ONLY HUMAN|JONAS BROTHERS
04:29|ALANE|ROBIN SCHULZ & WES
04:32|MINE|BAZZI
04:34|THIS CITY|SAM FISCHER
04:38|BREAKING ME|TOPIC feat. A7S
04:40|LOVE LIES|KHALID & NORMANI
04:44|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
04:46|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
04:52|BIRDS|IMAGINE DRAGONS feat. ELISA
04:55|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
04:58|BETTER NOW|POST MALONE
05:02|IN YOUR EYES|THE WEEKND
05:06|HARD FOR ME|MICHELE MARRONE
05:09|GO CRAZY|CHRIS BROWN & YOUNG THUG
05:12|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
05:15|PARTY GIRL|STAYSOLIDROCKY
05:18|FMR|MISHLAWI
05:21|LONELY|JOEL CORRY
05:24|RISE|JONAS BLUE feat. JACK & JACK
05:27|COME & GO|JUICE WRLD & MARSHMELLO
05:30|SUNDAY BEST|SURFACES
05:33|MAMA TA XINTI|JULINHO KSD
05:35|ME DOMINA|BLAYA feat. CARLAO
05:39|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
05:42|YOUNGBLOOD|5 SECONDS OF SUMMER
05:46|CIRCLES|POST MALONE
05:51|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
05:54|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
05:58|NEXT TO ME|IMAGINE DRAGONS
06:02|SAVAGE LOVE|JAWSH 685 x JASON DERULO
06:05|BREAK MY HEART|DUA LIPA
06:08|NOBODYS LOVE|MAROON 5
06:12|PSYCHO|POST MALONE feat. TY DOLLA $IGN
06:16|THIS CITY|SAM FISCHER
06:19|INTENTIONS|JUSTIN BIEBER feat. QUAVO
06:22|HEAD & HEART|JOEL CORRY feat. MNEK
06:25|BEAUTIFUL|BAZZI
06:28|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
06:32|HOJI NKA TA ROLA|JULINHO KSD
06:39|IN MY MIND|DYNORO & GIGI DAGOSTINO
06:42|POPSTAR|DJ KHALED feat. DRAKE
06:45|LOSE SOMEBODY|KYGO & ONEREPUBLIC
06:51|ESSA SAIA|BISPO feat. IVANDRO
06:55|DADO|RONY FUEGO
06:58|NATURAL|IMAGINE DRAGONS
07:01|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
07:05|ROCKSTAR|DABABY feat. RODDY RICCH
07:08|IN MY BONES|RAY DALTON
07:14|LOSE CONTROL|MEDUZA x BECKY HILL x GOODBOYS
07:16|BETTER|KHALID
07:20|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
07:23|SECRETS|REGARD & RAYE
07:27|FREAK|DOJA CAT
07:31|WOW|POST MALONE
07:34|DONT START NOW|DUA LIPA
07:42|FALLING|HARRY STYLES
07:46|BANANA|CONKARAH feat. SHAGGY
07:57|SAVAGE LOVE|JAWSH 685 x JASON DERULO
08:00|THIS CITY|SAM FISCHER
