00:01|EVERYTHING I WANTED|BILLIE EILISH
00:05|ADORE YOU|HARRY STYLES
00:09|ANDRA TUTTO BENE|CRISTOVAM
00:12|HEAVEN|AVICII FT. CHRIS MARTIN
00:17|KISS FROM A ROSE|SEAL
00:21|SEI LÁ|BÁRBARA TINOCO
00:25|CONVERSATIONS IN THE DARK|JOHN LEGEND
00:29|É ISSO AÍ|ANA CAROLINA & SEU JORGE
00:34|BLINDING LIGHTS|THE WEEKND
00:38|TEMPO|ANJOS
00:43|FEEL SO CLOSE|CALVIN HARRIS
00:46|PEITO|HMB
00:50|WHATS LOVE GOT TO DO WITH IT|TINA TURNER
00:56|DANCE MONKEY|TONES AND I
00:59|GABRIEL|LAMB
01:03|SAY SO|DOJA CAT
01:07|BRUISES|LEWIS CAPALDI
01:10|E PRECISO|MIGUEL GAMEIRO
01:14|IN MY BLOOD|SHAWN MENDES
01:17|TAKE ON ME|A HA
01:20|PERTO DE MIM|SYRO
01:24|IN YOUR EYES|THE WEEKND
01:28|MENTIRA|JOAO PEDRO PAIS
01:32|BREAKING ME|TOPIC FT. A7S
01:34|O ERRO MAIS BONITO|ANA BACALHAU & DIOGO PIÇARRA
01:37|STAY|RIHANNA [+] MIKKY EKKO
01:41|YOU SAY|LAUREN DAIGLE
01:46|LOUCOS|MATIAS DAMASIO [+] HEBER
01:49|GANGSTAS PARADISE|COOLIO
01:53|WATER|RICHIE CAMPBELL x SLOW J x LHAST
01:58|PUT A LITTLE LOVE ON ME|NIAL HORAN
02:02|(NAO)  ERA AMOR|GIULIA BE
02:05|LOSING MY RELIGION|R.E.M.
02:09|O AMOR É O SEGREDO|VITOR KLEY
02:12|I LOVE YOUS|HAILEE STEINFELD
02:15|SOMETHING JUST LIKE THIS|THE CHAINSMOKERS FT. COLDPLAY
02:19|SEXUAL HEALING|MARVIN GAYE
02:23|NATURAL|IMAGINE DRAGONS
02:26|RE-TRATAMENTO|DA WEASEL
02:30|STUCK IN A MOMENT YOU CANT GET OUT OF|U2
02:35|I DONT CARE|ED SHEERAN & JUSTIN BIEBER
02:39|CORAÇÃO|DIOGO PIÇARRA
02:42|PHYSICAL|DUA LIPA
02:45|KINGS & QUEENS|AVA MAX
02:49|HOW DO YOU SLEEP|SAM SMITH
02:53|LEFT OUTSIDE ALONE|ANASTACIA
02:57|MORAL OF THE STORY|ASHE
03:00|TUSA|KAROL G. x NICKI MINAJ
03:03|RECOMEÇAR|FERNANDO DANIEL
03:07|RITMO (BAD BOYS FOR LIFE)|BLACK EYED PEAS x J. BALVIN
03:10|ILL BE MISSING YOU|PUFF DADDY [+] FAITH EVANS [+] 112
03:13|OUVI DIZER|MELIM
03:16|IN YOUR EYES|THE WEEKND
03:20|SORRI SOU REI|NATIRUTS [+] MONICA FERRAZ
03:25|RIDE IT|REGARD
03:27|ANDRA TUTTO BENE|CRISTOVAM
03:31|STORY OF MY LIFE|ONE DIRECTION
03:34|O TEU OLHAR|MATIAS DAMASIO
03:38|I STILL HAVENT FOUND WHAT IM LOOKING FOR|U2
03:42|PROCURA POR MIM|AMOR ELECTRO
03:46|ROCKABYE|CLEAN BANDIT [+] SEAN PAUL
03:52|BEFORE YOU GO|LEWIS CAPALDI
03:56|TEMPO|ANJOS
03:59|SOMEBODY|BRYAN ADAMS
04:03|ANTES DELA DIZER QUE SIM|BÁRBARA TINOCO
04:06|CONVERSATIONS IN THE DARK|JOHN LEGEND
04:10|ONLY GIRL (IN THE WORLD)|RIHANNA
04:14|EVERY TIME YOU GO AWAY|PAUL YOUNG
04:18|S.O.S|AVICII FT. ALOE BLACC
04:21|TEMPO PARA QUE|D.A.M.A [+] PLAYER
04:25|HUNG UP|MADONNA
04:28|SENORITA|SHAWN MENDES & CAMILA CABELLO
04:32|E PRECISO|MIGUEL GAMEIRO
04:35|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
04:38|SAY SO|DOJA CAT
04:42|NÓS OS DOIS|BARBARA BANDEIRA
04:45|LOVE ME LIKE YOU DO|ELLIE GOULDING
04:51|DONT START NOW|DUA LIPA
04:54|YOU GIVE ME SOMETHING|JAMES MORRISON
04:57|EVERYTHING I WANTED|BILLIE EILISH
05:02|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
05:04|O ERRO MAIS BONITO|ANA BACALHAU & DIOGO PIÇARRA
